code,name,brand,price,description,image,page,confidence
PRO-7,USB 4GB,ALDEEPO,12.0,"• MODELO : METAL
• CAPACIDAD: 4 GB
• TIPO: USB
• TRANSFERENCIAS DE ALTA
VELOCIDAD
• USO: ALMACENAR MÚSICA,
VIDEOS Y MÁS",images/PRO-7.jpg,3,1.0
PRO-8,USB 8GB,ALDEEPO,13.0,"• MODELO : METAL
• CAPACIDAD: 8 GB
• TIPO: USB
• TRANSFERENCIAS DE ALTA
VELOCIDAD
• USO: ALMACENAR MÚSICA,
VIDEOS Y MÁS",images/PRO-8.jpg,4,1.0
AD-GK121,USB 8GB,ALDEEPO,13.0,"• MODELO : METAL
• CAPACIDAD: 8 GB
• TIPO: USB
• TRANSFERENCIAS DE ALTA
VELOCIDAD
• USO: ALMACENAR MÚSICA,
VIDEOS Y MÁS",images/AD-GK121.jpg,5,1.0
PRO-11,USB 64GB,ALDEEPO,28.0,"• MODELO : METAL
• CAPACIDAD: 64 GB
• TIPO: USB
• TRANSFERENCIAS DE ALTA
VELOCIDAD
• USO: ALMACENAR MÚSICA,
VIDEOS Y MÁS",images/PRO-11.jpg,6,1.0
PRO-9,USB 16GB,ALDEEPO,16.0,"• MODELO : METAL
• CAPACIDAD: 16 GB
• TIPO: USB
• TRANSFERENCIAS DE ALTA
VELOCIDAD
• USO: ALMACENAR MÚSICA,
VIDEOS Y MÁS",images/PRO-9.jpg,7,1.0
ET-M1062-M16,USB,EWTTO,18.0,"• MODELO : METAL
• CAPACIDAD: 16 GB
• TIPO: USB
• TRANSFERENCIAS DE ALTA
VELOCIDAD
• USO: ALMACENAR MÚSICA,
VIDEOS Y MÁS",images/ET-M1062-M16.jpg,8,1.0
ET-M1063-M16,USB,EWTTO,18.0,"• MODELO : METAL
• CAPACIDAD: 16 GB
• TIPO: USB
• TRANSFERENCIAS DE ALTA
VELOCIDAD
• USO: ALMACENAR MÚSICA,
VIDEOS Y MÁS",images/ET-M1063-M16.jpg,9,1.0
ET-M1063-L32,USB,EWTTO,25.0,"• MODELO : METAL
• CAPACIDAD: 32 GB
• TIPO: USB
• TRANSFERENCIAS DE ALTA
VELOCIDAD
• USO: ALMACENAR MÚSICA,
VIDEOS Y MÁS",images/ET-M1063-L32.jpg,10,1.0
PRO-10,USB 32GB,ALDEEPO,20.0,"• MODELO : METAL
• CAPACIDAD: 32 GB
• TIPO: USB
• TRANSFERENCIAS DE ALTA
VELOCIDAD
• USO: ALMACENAR MÚSICA,
VIDEOS Y MÁS",images/PRO-10.jpg,11,1.0
ET-M1062-L32,USB,EWTTO,25.0,"• MODELO : METAL
• CAPACIDAD: 16 GB
• TIPO: USB
• TRANSFERENCIAS DE ALTA
VELOCIDAD
• USO: ALMACENAR MÚSICA,
VIDEOS Y MÁS",images/ET-M1062-L32.jpg,12,1.0
